MONTH,BOROUGH,REFUSETONSCOLLECTED
2020 / 01,Bronx,32893.5
2020 / 02,Bronx,29707.0
2020 / 03,Bronx,32822.9
2020 / 04,Bronx,33047.5
2020 / 05,Bronx,38742.7
2020 / 06,Bronx,41217.2
2020 / 07,Bronx,41372.4
2020 / 08,Bronx,40200.2
2020 / 09,Bronx,38677.2
2020 / 10,Bronx,38344.4
2020 / 11,Bronx,37450.8
2020 / 12,Bronx,37539.8
2021 / 01,Bronx,34143.5
2021 / 02,Bronx,30198.4
2021 / 03,Bronx,37781.9
2021 / 04,Bronx,8818.9
2020 / 01,Brooklyn,65762.6
2020 / 02,Brooklyn,59292.7
2020 / 03,Brooklyn,65891.2
2020 / 04,Brooklyn,64129.1
2020 / 05,Brooklyn,71924.2
2020 / 06,Brooklyn,78399.0
2020 / 07,Brooklyn,77923.4
2020 / 08,Brooklyn,76364.7
2020 / 09,Brooklyn,77841.6
2020 / 10,Brooklyn,76701.6
2020 / 11,Brooklyn,74279.7
2020 / 12,Brooklyn,74719.9
2021 / 01,Brooklyn,67861.8
2021 / 02,Brooklyn,59793.0
2021 / 03,Brooklyn,75455.6
2021 / 04,Brooklyn,18035.4
2020 / 01,Manhattan,33823.4
2020 / 02,Manhattan,31155.8
2020 / 03,Manhattan,32374.1
2020 / 04,Manhattan,26714.4
2020 / 05,Manhattan,30345.7
2020 / 06,Manhattan,33530.1
2020 / 07,Manhattan,34442.6
2020 / 08,Manhattan,34348.0
2020 / 09,Manhattan,34978.3
2020 / 10,Manhattan,35025.9
2020 / 11,Manhattan,32914.0
2020 / 12,Manhattan,33772.0
2021 / 01,Manhattan,31105.2
2021 / 02,Manhattan,28835.8
2021 / 03,Manhattan,34022.6
2021 / 04,Manhattan,7656.0
2020 / 01,Queens,55242.5
2020 / 02,Queens,49023.1
2020 / 03,Queens,55454.1
2020 / 04,Queens,55958.7
2020 / 05,Queens,67738.2
2020 / 06,Queens,72776.7
2020 / 07,Queens,72380.0
2020 / 08,Queens,72293.7
2020 / 09,Queens,69074.4
2020 / 10,Queens,66599.7
2020 / 11,Queens,65884.1
2020 / 12,Queens,63138.6
2021 / 01,Queens,56470.1
2021 / 02,Queens,47705.4
2021 / 03,Queens,63633.5
2021 / 04,Queens,15483.9
2020 / 01,Staten Island,14049.8
2020 / 02,Staten Island,12141.2
2020 / 03,Staten Island,14410.3
2020 / 04,Staten Island,15810.8
2020 / 05,Staten Island,18991.0
2020 / 06,Staten Island,18987.3
2020 / 07,Staten Island,18083.4
2020 / 08,Staten Island,18275.7
2020 / 09,Staten Island,17462.3
2020 / 10,Staten Island,17191.7
2020 / 11,Staten Island,18302.5
2020 / 12,Staten Island,16615.6
2021 / 01,Staten Island,14696.5
2021 / 02,Staten Island,11561.5
2021 / 03,Staten Island,16644.6
2021 / 04,Staten Island,4277.4
